Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Australia,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,19,,0,...,875,,130,,167,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Austria,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,125,,127,,86,,109,,119,,437,,618,,1010,,814,,454,,567,,399,,273,,337,,418,,420,,983,,985,,1288,,4175,,3652,,3021,,1712,,3835,,2840,,2583,,3877,,3084,,2760,,3565,,2873,,4601,,4858,,5868,,6862,,7429,,9093,,8708,,7049,,6744,,6756,,8094,,9453,,9408.12,
Austria,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,64633,,56630,,57710,,64925,,61819,,56615,,59551,,58803,,58299,,59365,,61489,,63197,,60275,,61650,,62454,,57924,,62235,,60086,,65626,,52780,,49683,,53283,,50920,,49745,,42172,,42274,,40638,,42415,,43005,,47188,,48411,,52995,,49809,,44989,,47208,,52060,,51246,,52891,,50063,,49427,,49476,,50007,,49488,,49367.23,
Azerbaijan,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,36,E,783,,590,,1551,,5535,,4493,,1592,,610,,483,,2530,,3027,,477,,376,,37,,213,,200,,270,,0,...,12,,0,...,0,...,110,E,188,,456,,545.09,
Azerbaijan,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,587,E,161,E,645,,861,,1642,,1122,,2437,,1874,,3129,,2092,,2883,,3596,,6459,,7274,,9501,,8637,,8709,,13522,,14760,,15397,,8606,E,6379,E,11053,,18397,E,8693,,9771.81,
Bahamas,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,4,,48,,66,,34,,92,,153,,202,,273,,30,,70,,150,,171,,157,,211,,220,E,242,,193,,93,,20,,42,,134,,146,,211,,116,,39,,73,,46,,110,,31,,15,,43,,82,,51,,130,,71,,95,,79,,142,,73,,51,,110,E,115,E,39,E,25.24,E
Bahamas,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,578,,377,,377,E,307,E,1075,,662,,921,,834,,914,,1207,,945,,1175,E,1072,,1290,,1432,,1494,,1593,,1839,,1725,,1854,,1810,E,1928,,2506,,2486,,3474,,2956,,2803,,2586,,2672,,2768,,3170,,3186,,3553,,2876,,2305,,3130,,3315,,3251,,3174,,3134,,3427,E,2583,E,3519,E,3270.38,E
Bahamas,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,N,0,...,0,...,0,...,0,...,23,,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,0,N,1,,1,,0,...,0,...,27,,0,N,0,N,0,N,0,N,0,...,0,...,3,,0,...,0,...,0,...,0,...
Bahrain,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,355,,364,,213,,0,...,3,,7,,1,,0,N,0,N,0,...,82,,169,,146,,605,E,972,,1932,,1772,,1559,,1767,,2366,,2983,,2658,,2945,,2138,,1342,,1687,,2365,,2701,,2357,,1271,,2907,,2176,,2434,,3030,,1761,,1527,,2598,,1585,,1504,,3032,,2067,,1573,,8216,,12679.6,
Bahrain,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,668,,1285,,622,,345,,675,,1011,,800,,1239,,1409,,1729,,1505,,1597,,1207,,1550,E,1374,,1777,,1686,,2261,,1705,,2495,,1970,,1887,,1705,,1650,,2539,,2873,,2965,,2859,,2851,,4253,,3919,,4018,,6966,,6788,,5978,,8054,,8164,,6587,,7631,,6545,,8917,,13293,,16057,,15963.29,
Bahrain,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,0,...,27,,24,,11,,4,,0,N,6,,176,,0,...,51,,773,,744,,359,,248,,70,,81,,0,...,1888,,0,...
Bangladesh,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,77,,216,,406,,543,,814,,1068,,1290,,2815,,5631,,4651,,7224,,6084,,6953,,4690,,5412,,6735,,7256,E,4203,,5021,,11544,,11509,,13975,,7487,,7918,,9728,E,7190,,7549,,4598,,3997,,7993,,7583,,14586,,18814,,11740,,17054,,23725,E,12174,E,11319,,13547,,11913,,15729,E,9514,E,14201,E,22109.41,E
