TAXONOMIC_CODE,ALPHA_3_CODE,SCIENTIFIC_NAME,NAME.EN,NAME.FR,NAME.ES,EBXID,AUTHOR
1700204277,EWU,Epinephelus multinotatus,White-blotched grouper,Mérou plate grise,Mero de lunares,18921,(Peters 1876)
1700204282,EWL,Epinephelus tukula,Potato grouper,Mérou patate,Mero patata,18926,Morgans 1959
1700204284,EWY,Epinephelus polylepis,Smallscaled grouper,Mérou petites écailles,Mero escamoso,18944,Randall & Heemstra 1991
1700204285,EWS,Epinephelus summana,Summan grouper,Mérou summan,Mero sumán,18945,(Forsskål 1775)
1700204294,EZQ,Epinephelus quinquefasciatus,Pacific goliath grouper,Mérou géant du Pacifique,Mero gigante del Pacífico,20465,(Bocourt 1868)
17002042XX,GPX,Epinephelus spp,Groupers nei,Mérous nca,Meros nep,2278,
17002042XX001,EXF,E. fuscoguttatus x E. lanceolatus,"Tiger-dragon grouper, hybrid",,,20630,
1700206101,CBR,Serranus cabrilla,Comber,Serran-chèvre,Cabrilla,2284,(Linnaeus 1758)
1700206102,SRK,Serranus scriba,Painted comber,Serran écriture,Serrano escribano,15260,(Linnaeus 1758)
1700206109,SRJ,Serranus hepatus,Brown comber,Serran-tambour,Merillo,15259,(Linnaeus 1758)
1700206113,WSA,Serranus atricauda,Blacktail comber,Serran à queue noire,Serrano imperial,19318,Günther 1874
17002061XX,BAS,Serranus spp,Combers nei,Serrans nca,Serranos nep,2283,
1700207201,LDP,Lepidoperca pulchella,Orange perch,,,13101,(Waite 1899)
1700208102,BSB,Centropristis striata,Black seabass,Fanfre noir,Serrano estriado,3079,(Linnaeus 1758)
1700208103,FHC,Centropristis philadelphica,Rock sea bass,,Cabrilla serrana,20417,(Linnaeus 1758)
1700211501,CFL,Cephalopholis cruentata,Graysby,Coné essaim,Cherna enjambre,11205,(Lacépède 1802)
1700211502,CFJ,Cephalopholis fulva,Coney,Coné ouatalibi,Cherna cabrilla,11207,(Linnaeus 1758)
1700211504,CFF,Cephalopholis argus,Peacock hind,Vieille la prude,Cherna pavo real,11204,Bloch & Schneider 1801
1700211506,EFA,Cephalopholis taeniops,Bluespotted seabass,Mérou à points bleus,Cherna colorada,11214,(Valenciennes 1828)
1700211509,CFH,Cephalopholis hemistiktos,Yellowfin hind,Vieille d'Arabie,Cherna arábiga,11208,(Rüppell 1830)
1700211511,CFI,Cephalopholis miniata,Coral hind,Vieille de corail,Cherna estrellada,11210,(Forsskål 1775)
1700211519,CVK,Cephalopholis boenak,Chocolate hind,Vielle chocolat,Cherna chocolate,19041,(Bloch 1790)
1700212501,MPV,Cromileptes altivelis,Humpback grouper,Mérou bossu,Mero jorobado,11617,(Valenciennes 1828)
1700213104,DLA,Diplectrum pacificum,Inshore sand perch,,,11888,Meek & Hildebrand 1925
1700219501,TIF,Paranthias furcifer,Creole-fish,Badèche créole,Cuna lucero,14140,(Valenciennes 1828)
1700220801,PLM,Plectropomus maculatus,Spotted coralgrouper,Vieille Saint-Silac,Mero con pintas,2285,(Bloch 1790)
1700220802,EME,Plectropomus areolatus,Squaretail coralgrouper,Mérou queue carrée,Mero troncón,14431,(Rüppell 1830)
1700220804,EMO,Plectropomus leopardus,Leopard coralgrouper,Saumonée léopard,Mero celestial,14433,(Lacépède 1802)
1700220805,EMU,Plectropomus pessuliferus,Roving coralgrouper,Mérou-loche vagabonde,Mero errante,14434,Fowler 1904
1700225901,BSZ,Acanthistius brasilianus,Argentine seabass,Serran argentin,Mero sureño,3081,(Cuvier 1828)
1700240505,BAP,Paralabrax humeralis,Peruvian rock seabass,Serran cabrilla,Cabrilla loca,3083,(Valenciennes 1828)
17002405XX,XBX,Paralabrax spp,,,Verdillos nep,19101,
1700255701,VRL,Variola louti,Yellow-edged lyretail,Croissant queue jaune,Mero luna creciente,15958,(Forsskål 1775)
17002XXXXX,BSX,Serranidae,"Groupers, seabasses nei",Serranidés nca,Meros y chernas nep,3069,
1700400601,MER,Mesopristes argenteus,Silver grunter,,,13435,(Cuvier 1829)
1700401002,QOF,Scortum barcoo,Barcoo grunter,,,19638,(McCulloch & Waite 1917)
1700408902,TEU,Terapon puta,Small-scaled terapon,,,15622,(Cuvier 1829)
1700408903,TEH,Terapon theraps,Largescaled terapon,Violon tigre,Baraonga tigre,15623,(Cuvier 1829)
17004089XX,THO,Terapon spp,Terapon perches nei,,,2288,
1700420101,PQD,Pelates quadrilineatus,Fourlined terapon,Violon crépuscule,Baraonga aurora,14234,(Bloch 1790)
1700436801,BYB,Bidyanus bidyanus,Silver perch,,,3084,(Mitchell 1838)
1700505801,WRF,Polyprion americanus,Wreckfish,Cernier commun,Cherna,3077,(Bloch & Schneider 1801)
1700505802,WHA,Polyprion oxygeneios,Hapuku wreckfish,Cernier de Nouvelle-Zélande,Cherna hapuku,3078,(Schneider & Forster 1801)
1700522002,TEJ,Stereolepis gigas,Giant seabass,Bar gigantesque,Lubina gigante,3088,Ayres 1859
1700600602,STB,Morone saxatilis,Striped bass,Bar d'Amérique,Lubina estriada,2289,(Walbaum 1792)
1700600603,PEW,Morone americana,White perch,Bar blanc d'Amérique,Lubina blanca,3086,(Gmelin 1789)
1700600604,ROY,Morone chrysops,White bass,,,13535,(Rafinesque 1820)
17006006XX017,SBH,Morone chrysops x M. saxatilis,"Striped bass, hybrid","Bar d'Amérique, hybride","Lubina estriada, híbrida",3085,
1700634501,SPU,Dicentrarchus punctatus,Spotted seabass,Bar tacheté,Baila,3087,(Bloch 1792)
1700634503,BSS,Dicentrarchus labrax,European seabass,Bar européen,Lubina,2291,(Linnaeus 1758)
17006345XX,BSE,Dicentrarchus spp,Seabasses nei,Bars nca,Lubinas nep,2290,
1700817601,MCP,Maccullochella peelii,Murray cod,,,2292,(Mitchell 1839)
1700829902,SIN,Siniperca chuatsi,Mandarin fish,,,3082,(Basilewsky 1855)
1700830102,MCA,Macquaria ambigua,Golden perch,,,2294,(Richardson 1845)
1701001302,LMM,Lepomis macrochirus,Bluegill,Crapet arlequin,Mojarra oreja azul,13119,Rafinesque 1819
1701001402,MPS,Micropterus salmoides,Largemouth black bass,Achigan à grande bouche,Perca atruchada,3089,(Lacépède 1802)
1701009401,AKR,Ambloplites rupestris,Rock bass,Crapet de roche,,10316,(Rafinesque 1817)
1701021401,PXR,Pomoxis annularis,White crappie,Crapet calicot,Crapet,14516,Rafinesque 1818
1701102602,PQR,Priacanthus arenatus,Atlantic bigeye,,,14546,Cuvier 1829
